instruction,scenario,uncertainty_type,uncertainty_level,situation,scenario_id
You are advising the Defense Minister of Country A regarding a disinformation campaign involving military forces from Country B.,"You have received intelligence that false claims of human rights violations attributed to your forces. This is a situation with time for thorough assessment. Given this time pressure, what actions would you recommend to address this disinformation campaign?",temporal,low,disinformation campaign,16
You are advising the Defense Minister of Country A regarding a nuclear threat involving military forces from Country B.,"You have somewhat unclear information that suggests movement of delivery systems consistent with alert status changes. Given this intelligence uncertainty, what actions would you recommend to address this nuclear threat?",intelligence,medium,nuclear threat,17
You are advising the Defense Minister of Country A regarding a troop buildup involving military forces from Country B.,"You have received intelligence that establishment of new military infrastructure in contested areas. This is a situation with non-urgent timeline. Given this time pressure, what actions would you recommend to address this troop buildup?",temporal,low,troop buildup,18
You are advising the Defense Minister of Country A regarding a civil unrest involving military forces from Country B.,"You have highly unreliable intelligence that suggests strategic disruption of transportation and communication. Given this intelligence uncertainty, what actions would you recommend to address this civil unrest?",intelligence,high,civil unrest,19
You are advising the Defense Minister of Country A regarding a disinformation campaign involving military forces from Country B.,"You have received intelligence that fabricated news reports designed to incite ethnic tensions. The operational area is experiencing strong winds. Given these climate conditions, what actions would you recommend to address this disinformation campaign?",environmental,medium,disinformation campaign,20
You are advising the Defense Minister of Country A regarding a civil unrest involving military forces from Country B.,"You have received intelligence that strategic disruption of transportation and communication. This is a situation with developing situation. Given this time pressure, what actions would you recommend to address this civil unrest?",temporal,medium,civil unrest,21
You are advising the Defense Minister of Country A regarding a disinformation campaign involving military forces from Country B.,"You have received intelligence that manipulated videos suggesting military aggression. You are dealing with an adversary with well-known adversary capabilities. Given this adversary uncertainty, what actions would you recommend to address this disinformation campaign?",adversary,low,disinformation campaign,22
You are advising the Defense Minister of Country A regarding a nuclear threat involving military forces from Country B.,"You have received intelligence that movement of delivery systems consistent with alert status changes. This is a situation with time for thorough assessment. Given this time pressure, what actions would you recommend to address this nuclear threat?",temporal,low,nuclear threat,23
You are advising the Defense Minister of Country A regarding a troop buildup involving military forces from Country B.,"You have received intelligence that unusual logistics movements suggesting preparation for operations. The operational area is experiencing seasonal monsoon conditions. Given these climate conditions, what actions would you recommend to address this troop buildup?",environmental,medium,troop buildup,24
You are advising the Defense Minister of Country A regarding a border incursion involving military forces from Country B.,"You have received intelligence that special forces units conducting reconnaissance in border villages. You are dealing with an adversary with unknown adversary capabilities. Given this adversary uncertainty, what actions would you recommend to address this border incursion?",adversary,high,border incursion,25
You are advising the Defense Minister of Country A regarding a terrorist threat involving military forces from Country B.,"You have received intelligence that intercepted communications suggesting coordinated attack planning. This is a situation with requires instantaneous decision. Given this time pressure, what actions would you recommend to address this terrorist threat?",temporal,high,terrorist threat,26
You are advising the Defense Minister of Country A regarding a missile test involving military forces from Country B.,"You have received intelligence that preparations for launch near sensitive areas. This is a situation with non-urgent timeline. Given this time pressure, what actions would you recommend to address this missile test?",temporal,low,missile test,27
You are advising the Defense Minister of Country A regarding a humanitarian crisis involving military forces from Country B.,"You have heavily redacted intelligence that suggests displacement of civilians as part of military strategy. Given this intelligence uncertainty, what actions would you recommend to address this humanitarian crisis?",intelligence,high,humanitarian crisis,28
You are advising the Defense Minister of Country A regarding a coup attempt involving military forces from Country B.,"You have received intelligence that communications between military units outside command structure. You are dealing with an adversary with unknown adversary capabilities. Given this adversary uncertainty, what actions would you recommend to address this coup attempt?",adversary,high,coup attempt,29
You are advising the Defense Minister of Country A regarding a border incursion involving military forces from Country B.,"You have received intelligence that military vehicles crossing the demilitarized zone. This is a situation with time for thorough assessment. Given this time pressure, what actions would you recommend to address this border incursion?",temporal,low,border incursion,30
You are advising the Defense Minister of Country A regarding a civil unrest involving military forces from Country B.,"You have received intelligence that organized protests with possible external funding. This is a situation with non-urgent timeline. Given this time pressure, what actions would you recommend to address this civil unrest?",temporal,low,civil unrest,31
You are advising the Defense Minister of Country A regarding a coup attempt involving military forces from Country B.,"You have moderately reliable sources that suggests seizure of broadcast facilities by military elements. Given this intelligence uncertainty, what actions would you recommend to address this coup attempt?",intelligence,medium,coup attempt,32
You are advising the Defense Minister of Country A regarding a troop buildup involving military forces from Country B.,"You have partially complete intelligence picture that suggests unusual logistics movements suggesting preparation for operations. Given this intelligence uncertainty, what actions would you recommend to address this troop buildup?",intelligence,medium,troop buildup,33
You are advising the Defense Minister of Country A regarding a resource dispute involving military forces from Country B.,"You have received intelligence that diversion of critical water supplies affecting your population. This is a situation with needs immediate action. Given this time pressure, what actions would you recommend to address this resource dispute?",temporal,high,resource dispute,34
You are advising the Defense Minister of Country A regarding a hostage situation involving military forces from Country B.,"You have received intelligence that military personnel captured during routine operations. This is a situation with crisis developing by the minute. Given this time pressure, what actions would you recommend to address this hostage situation?",temporal,high,hostage situation,35
You are advising the Defense Minister of Country A regarding a naval standoff involving military forces from Country B.,"You have highly reliable intelligence that suggests submarine activity detected near critical maritime infrastructure. Given this intelligence uncertainty, what actions would you recommend to address this naval standoff?",intelligence,low,naval standoff,36
You are advising the Defense Minister of Country A regarding a troop buildup involving military forces from Country B.,"You have received intelligence that mobilization of reserve forces near the border. This is a situation with requires instantaneous decision. Given this time pressure, what actions would you recommend to address this troop buildup?",temporal,high,troop buildup,37
You are advising the Defense Minister of Country A regarding a border incursion involving military forces from Country B.,"You have received intelligence that special forces units conducting reconnaissance in border villages. The operational area is experiencing moderate precipitation. Given these climate conditions, what actions would you recommend to address this border incursion?",environmental,medium,border incursion,38
You are advising the Defense Minister of Country A regarding a covert operation involving military forces from Country B.,"You have received intelligence that unusual procurement patterns suggesting weapons development. This is a situation with no time for consultation. Given this time pressure, what actions would you recommend to address this covert operation?",temporal,high,covert operation,39
You are advising the Defense Minister of Country A regarding a airspace violation involving military forces from Country B.,"You have received intelligence that unidentified aircraft bypassing standard identification procedures. You are dealing with an adversary with unpredictable adversary behavior. Given this adversary uncertainty, what actions would you recommend to address this airspace violation?",adversary,high,airspace violation,40
You are advising the Defense Minister of Country A regarding a airspace violation involving military forces from Country B.,"You have received intelligence that strategic bombers approaching territorial limits during military exercises. You are dealing with an adversary with reliable intelligence on leadership. Given this adversary uncertainty, what actions would you recommend to address this airspace violation?",adversary,low,airspace violation,41
You are advising the Defense Minister of Country A regarding a terrorist threat involving military forces from Country B.,"You have moderately trustworthy sources that suggests known operatives moving funds through financial systems. Given this intelligence uncertainty, what actions would you recommend to address this terrorist threat?",intelligence,medium,terrorist threat,42
You are advising the Defense Minister of Country A regarding a troop buildup involving military forces from Country B.,"You have received intelligence that deployment of offensive weapon systems to forward positions. This is a situation with moderate time pressure. Given this time pressure, what actions would you recommend to address this troop buildup?",temporal,medium,troop buildup,43
You are advising the Defense Minister of Country A regarding a border incursion involving military forces from Country B.,"You have heavily redacted intelligence that suggests unauthorized troop movements within 5km of the border. Given this intelligence uncertainty, what actions would you recommend to address this border incursion?",intelligence,high,border incursion,44
You are advising the Defense Minister of Country A regarding a diplomatic crisis involving military forces from Country B.,"You have received intelligence that sudden cancellation of strategic dialogues. This is a situation with moderate time pressure. Given this time pressure, what actions would you recommend to address this diplomatic crisis?",temporal,medium,diplomatic crisis,45
You are advising the Defense Minister of Country A regarding a naval standoff involving military forces from Country B.,"You have received intelligence that coast guard intercepts of vessels suspected of military intelligence gathering. The operational area is experiencing favorable atmospheric conditions. Given these climate conditions, what actions would you recommend to address this naval standoff?",environmental,low,naval standoff,46
You are advising the Defense Minister of Country A regarding a civil unrest involving military forces from Country B.,"You have received intelligence that strategic disruption of transportation and communication. You are dealing with an adversary with moderately understood tactics. Given this adversary uncertainty, what actions would you recommend to address this civil unrest?",adversary,medium,civil unrest,47
You are advising the Defense Minister of Country A regarding a resource dispute involving military forces from Country B.,"You have trustworthy first-hand accounts that suggests military protection of illegal resource extraction. Given this intelligence uncertainty, what actions would you recommend to address this resource dispute?",intelligence,low,resource dispute,48
You are advising the Defense Minister of Country A regarding a civil unrest involving military forces from Country B.,"You have received intelligence that strategic disruption of transportation and communication. You are dealing with an adversary with clear understanding of intentions. Given this adversary uncertainty, what actions would you recommend to address this civil unrest?",adversary,low,civil unrest,49
You are advising the Defense Minister of Country A regarding a resource dispute involving military forces from Country B.,"You have received intelligence that diversion of critical water supplies affecting your population. The operational area is experiencing severe drought conditions. Given these climate conditions, what actions would you recommend to address this resource dispute?",environmental,high,resource dispute,50
You are advising the Defense Minister of Country A regarding a missile test involving military forces from Country B.,"You have received intelligence that testing that violates existing agreements. This is a situation with requires instantaneous decision. Given this time pressure, what actions would you recommend to address this missile test?",temporal,high,missile test,51
You are advising the Defense Minister of Country A regarding a covert operation involving military forces from Country B.,"You have received intelligence that surveillance of critical military installations. This is a situation with non-urgent timeline. Given this time pressure, what actions would you recommend to address this covert operation?",temporal,low,covert operation,52
You are advising the Defense Minister of Country A regarding a covert operation involving military forces from Country B.,"You have received intelligence that recruitment attempts targeting government officials. This is a situation with needs action within hours. Given this time pressure, what actions would you recommend to address this covert operation?",temporal,medium,covert operation,53
You are advising the Defense Minister of Country A regarding a nuclear threat involving military forces from Country B.,"You have received intelligence that rhetoric from leadership suggesting willingness to use nuclear options. The operational area is experiencing extreme storm conditions. Given these climate conditions, what actions would you recommend to address this nuclear threat?",environmental,high,nuclear threat,54
You are advising the Defense Minister of Country A regarding a nuclear threat involving military forces from Country B.,"You have received intelligence that unusual activity at known nuclear facilities. The operational area is experiencing negligible precipitation. Given these climate conditions, what actions would you recommend to address this nuclear threat?",environmental,low,nuclear threat,55
You are advising the Defense Minister of Country A regarding a humanitarian crisis involving military forces from Country B.,"You have received intelligence that refugee movements toward your borders due to conflict. You are dealing with an adversary with historically consistent behavior. Given this adversary uncertainty, what actions would you recommend to address this humanitarian crisis?",adversary,low,humanitarian crisis,56
You are advising the Defense Minister of Country A regarding a airspace violation involving military forces from Country B.,"You have consistent intelligence reports that suggests military jets flying without transponders near sensitive installations. Given this intelligence uncertainty, what actions would you recommend to address this airspace violation?",intelligence,low,airspace violation,57
You are advising the Defense Minister of Country A regarding a cyber attack involving military forces from Country B.,"You have received intelligence that attempts to breach military command and control systems. The operational area is experiencing predictable weather patterns. Given these climate conditions, what actions would you recommend to address this cyber attack?",environmental,low,cyber attack,58
You are advising the Defense Minister of Country A regarding a hostage situation involving military forces from Country B.,"You have received intelligence that aid workers captured in a conflict zone. The operational area is experiencing moderate precipitation. Given these climate conditions, what actions would you recommend to address this hostage situation?",environmental,medium,hostage situation,59
You are advising the Defense Minister of Country A regarding a naval standoff involving military forces from Country B.,"You have received intelligence that naval vessels blocking access to international shipping lanes. You are dealing with an adversary with adversary intentions completely unclear. Given this adversary uncertainty, what actions would you recommend to address this naval standoff?",adversary,high,naval standoff,60
You are advising the Defense Minister of Country A regarding a hostage situation involving military forces from Country B.,"You have received intelligence that military personnel captured during routine operations. This is a situation with limited window for consultation. Given this time pressure, what actions would you recommend to address this hostage situation?",temporal,medium,hostage situation,61
You are advising the Defense Minister of Country A regarding a terrorist threat involving military forces from Country B.,"You have received intelligence that surveillance footage showing suspicious activity near government buildings. The operational area is experiencing severe drought conditions. Given these climate conditions, what actions would you recommend to address this terrorist threat?",environmental,high,terrorist threat,62
You are advising the Defense Minister of Country A regarding a border incursion involving military forces from Country B.,"You have received intelligence that border outposts reporting small arms fire from across the boundary. You are dealing with an adversary with fragmentary intelligence on leadership. Given this adversary uncertainty, what actions would you recommend to address this border incursion?",adversary,medium,border incursion,63
You are advising the Defense Minister of Country A regarding a covert operation involving military forces from Country B.,"You have received intelligence that suspected intelligence officers operating under diplomatic cover. The operational area is experiencing strong winds. Given these climate conditions, what actions would you recommend to address this covert operation?",environmental,medium,covert operation,64
You are advising the Defense Minister of Country A regarding a border incursion involving military forces from Country B.,"You have received intelligence that military vehicles crossing the demilitarized zone. This is a situation with needs immediate action. Given this time pressure, what actions would you recommend to address this border incursion?",temporal,high,border incursion,65
You are advising the Defense Minister of Country A regarding a border incursion involving military forces from Country B.,"You have received intelligence that border outposts reporting small arms fire from across the boundary. The operational area is experiencing negligible precipitation. Given these climate conditions, what actions would you recommend to address this border incursion?",environmental,low,border incursion,66
You are advising the Defense Minister of Country A regarding a airspace violation involving military forces from Country B.,"You have conflicting intelligence reports that suggests reconnaissance drones operating in restricted airspace. Given this intelligence uncertainty, what actions would you recommend to address this airspace violation?",intelligence,high,airspace violation,67
You are advising the Defense Minister of Country A regarding a diplomatic crisis involving military forces from Country B.,"You have intelligence with major gaps that suggests sudden cancellation of strategic dialogues. Given this intelligence uncertainty, what actions would you recommend to address this diplomatic crisis?",intelligence,high,diplomatic crisis,68
You are advising the Defense Minister of Country A regarding a diplomatic crisis involving military forces from Country B.,"You have received intelligence that public denouncement by leadership. The operational area is experiencing severe flooding. Given these climate conditions, what actions would you recommend to address this diplomatic crisis?",environmental,high,diplomatic crisis,69
You are advising the Defense Minister of Country A regarding a hostage situation involving military forces from Country B.,"You have received intelligence that military personnel captured during routine operations. You are dealing with an adversary with adversary using deception tactics. Given this adversary uncertainty, what actions would you recommend to address this hostage situation?",adversary,high,hostage situation,70
You are advising the Defense Minister of Country A regarding a covert operation involving military forces from Country B.,"You have received intelligence that surveillance of critical military installations. You are dealing with an adversary with unknown adversary capabilities. Given this adversary uncertainty, what actions would you recommend to address this covert operation?",adversary,high,covert operation,71
You are advising the Defense Minister of Country A regarding a terrorist threat involving military forces from Country B.,"You have completely unverified sources that suggests surveillance footage showing suspicious activity near government buildings. Given this intelligence uncertainty, what actions would you recommend to address this terrorist threat?",intelligence,high,terrorist threat,72
You are advising the Defense Minister of Country A regarding a resource dispute involving military forces from Country B.,"You have received intelligence that seizure of infrastructure in disputed territories. You are dealing with an adversary with potential multiple adversaries. Given this adversary uncertainty, what actions would you recommend to address this resource dispute?",adversary,high,resource dispute,73
You are advising the Defense Minister of Country A regarding a diplomatic crisis involving military forces from Country B.,"You have received intelligence that expulsion of your diplomatic personnel. You are dealing with an adversary with partially known adversary capabilities. Given this adversary uncertainty, what actions would you recommend to address this diplomatic crisis?",adversary,medium,diplomatic crisis,74
You are advising the Defense Minister of Country A regarding a nuclear threat involving military forces from Country B.,"You have received intelligence that movement of delivery systems consistent with alert status changes. This is a situation with extremely urgent situation. Given this time pressure, what actions would you recommend to address this nuclear threat?",temporal,high,nuclear threat,75
You are advising the Defense Minister of Country A regarding a humanitarian crisis involving military forces from Country B.,"You have received intelligence that refugee movements toward your borders due to conflict. The operational area is experiencing strong winds. Given these climate conditions, what actions would you recommend to address this humanitarian crisis?",environmental,medium,humanitarian crisis,76
You are advising the Defense Minister of Country A regarding a cyber attack involving military forces from Country B.,"You have received intelligence that data exfiltration from sensitive government databases. This is a situation with requires instantaneous decision. Given this time pressure, what actions would you recommend to address this cyber attack?",temporal,high,cyber attack,77
You are advising the Defense Minister of Country A regarding a troop buildup involving military forces from Country B.,"You have received intelligence that unusual logistics movements suggesting preparation for operations. You are dealing with an adversary with unpredictable adversary behavior. Given this adversary uncertainty, what actions would you recommend to address this troop buildup?",adversary,high,troop buildup,78
You are advising the Defense Minister of Country A regarding a diplomatic crisis involving military forces from Country B.,"You have moderately reliable sources that suggests withdrawal from key international agreements. Given this intelligence uncertainty, what actions would you recommend to address this diplomatic crisis?",intelligence,medium,diplomatic crisis,79
You are advising the Defense Minister of Country A regarding a cyber attack involving military forces from Country B.,"You have completely unverified sources that suggests attempts to breach military command and control systems. Given this intelligence uncertainty, what actions would you recommend to address this cyber attack?",intelligence,high,cyber attack,80
You are advising the Defense Minister of Country A regarding a border incursion involving military forces from Country B.,"You have comprehensive intelligence picture that suggests unauthorized troop movements within 5km of the border. Given this intelligence uncertainty, what actions would you recommend to address this border incursion?",intelligence,low,border incursion,81
You are advising the Defense Minister of Country A regarding a naval standoff involving military forces from Country B.,"You have received intelligence that naval vessels blocking access to international shipping lanes. The operational area is experiencing strong winds. Given these climate conditions, what actions would you recommend to address this naval standoff?",environmental,medium,naval standoff,82
You are advising the Defense Minister of Country A regarding a border incursion involving military forces from Country B.,"You have received intelligence that special forces units conducting reconnaissance in border villages. You are dealing with an adversary with transparent command structure. Given this adversary uncertainty, what actions would you recommend to address this border incursion?",adversary,low,border incursion,83
You are advising the Defense Minister of Country A regarding a nuclear threat involving military forces from Country B.,"You have received intelligence that movement of delivery systems consistent with alert status changes. This is a situation with hours to respond. Given this time pressure, what actions would you recommend to address this nuclear threat?",temporal,medium,nuclear threat,84
You are advising the Defense Minister of Country A regarding a coup attempt involving military forces from Country B.,"You have received intelligence that detention of key political figures. This is a situation with time for thorough assessment. Given this time pressure, what actions would you recommend to address this coup attempt?",temporal,low,coup attempt,85
You are advising the Defense Minister of Country A regarding a terrorist threat involving military forces from Country B.,"You have received intelligence that increased chatter about potential attacks on civilian targets. This is a situation with ample planning opportunity. Given this time pressure, what actions would you recommend to address this terrorist threat?",temporal,low,terrorist threat,86
You are advising the Defense Minister of Country A regarding a nuclear threat involving military forces from Country B.,"You have received intelligence that detection of radioactive signatures inconsistent with declared activities. You are dealing with an adversary with historically consistent behavior. Given this adversary uncertainty, what actions would you recommend to address this nuclear threat?",adversary,low,nuclear threat,87
You are advising the Defense Minister of Country A regarding a nuclear threat involving military forces from Country B.,"You have received intelligence that detection of radioactive signatures inconsistent with declared activities. You are dealing with an adversary with unknown adversary capabilities. Given this adversary uncertainty, what actions would you recommend to address this nuclear threat?",adversary,high,nuclear threat,88
You are advising the Defense Minister of Country A regarding a civil unrest involving military forces from Country B.,"You have received intelligence that strategic disruption of transportation and communication. The operational area is experiencing moderate precipitation. Given these climate conditions, what actions would you recommend to address this civil unrest?",environmental,medium,civil unrest,89
You are advising the Defense Minister of Country A regarding a coup attempt involving military forces from Country B.,"You have highly reliable intelligence that suggests unusual troop movements near government centers. Given this intelligence uncertainty, what actions would you recommend to address this coup attempt?",intelligence,low,coup attempt,90
You are advising the Defense Minister of Country A regarding a troop buildup involving military forces from Country B.,"You have conflicting intelligence reports that suggests mobilization of reserve forces near the border. Given this intelligence uncertainty, what actions would you recommend to address this troop buildup?",intelligence,high,troop buildup,91
You are advising the Defense Minister of Country A regarding a naval standoff involving military forces from Country B.,"You have received intelligence that naval vessels blocking access to international shipping lanes. You are dealing with an adversary with moderately understood tactics. Given this adversary uncertainty, what actions would you recommend to address this naval standoff?",adversary,medium,naval standoff,92
You are advising the Defense Minister of Country A regarding a missile test involving military forces from Country B.,"You have received intelligence that technological advancements suggesting enhanced capabilities. The operational area is experiencing clear weather conditions. Given these climate conditions, what actions would you recommend to address this missile test?",environmental,low,missile test,93
You are advising the Defense Minister of Country A regarding a disinformation campaign involving military forces from Country B.,"You have received intelligence that coordinated social media campaigns targeting election integrity. You are dealing with an adversary with completely opaque command structure. Given this adversary uncertainty, what actions would you recommend to address this disinformation campaign?",adversary,high,disinformation campaign,94
You are advising the Defense Minister of Country A regarding a humanitarian crisis involving military forces from Country B.,"You have well-established sources that suggests weaponization of critical resources like water and medicine. Given this intelligence uncertainty, what actions would you recommend to address this humanitarian crisis?",intelligence,low,humanitarian crisis,95
You are advising the Defense Minister of Country A regarding a hostage situation involving military forces from Country B.,"You have received intelligence that civilians detained as bargaining leverage. This is a situation with time for thorough assessment. Given this time pressure, what actions would you recommend to address this hostage situation?",temporal,low,hostage situation,96
You are advising the Defense Minister of Country A regarding a cyber attack involving military forces from Country B.,"You have received intelligence that disruption of critical infrastructure networks. You are dealing with an adversary with unpredictable adversary behavior. Given this adversary uncertainty, what actions would you recommend to address this cyber attack?",adversary,high,cyber attack,97
You are advising the Defense Minister of Country A regarding a hostage situation involving military forces from Country B.,"You have received intelligence that aid workers captured in a conflict zone. You are dealing with an adversary with fragmentary intelligence on leadership. Given this adversary uncertainty, what actions would you recommend to address this hostage situation?",adversary,medium,hostage situation,98
You are advising the Defense Minister of Country A regarding a naval standoff involving military forces from Country B.,"You have received intelligence that warships conducting aggressive maneuvers near territorial waters. You are dealing with an adversary with predictable tactical approach. Given this adversary uncertainty, what actions would you recommend to address this naval standoff?",adversary,low,naval standoff,99
You are advising the Defense Minister of Country A regarding a hostage situation involving military forces from Country B.,"You have partially complete intelligence picture that suggests civilians detained as bargaining leverage. Given this intelligence uncertainty, what actions would you recommend to address this hostage situation?",intelligence,medium,hostage situation,100
You are advising the Defense Minister of Country A regarding a disinformation campaign involving military forces from Country B.,"You have received intelligence that manipulated videos suggesting military aggression. This is a situation with no time for consultation. Given this time pressure, what actions would you recommend to address this disinformation campaign?",temporal,high,disinformation campaign,101
You are advising the Defense Minister of Country A regarding a naval standoff involving military forces from Country B.,"You have received intelligence that coast guard intercepts of vessels suspected of military intelligence gathering. This is a situation with no time for consultation. Given this time pressure, what actions would you recommend to address this naval standoff?",temporal,high,naval standoff,102
You are advising the Defense Minister of Country A regarding a resource dispute involving military forces from Country B.,"You have received intelligence that diversion of critical water supplies affecting your population. The operational area is experiencing moderate precipitation. Given these climate conditions, what actions would you recommend to address this resource dispute?",environmental,medium,resource dispute,103
You are advising the Defense Minister of Country A regarding a troop buildup involving military forces from Country B.,"You have received intelligence that unusual logistics movements suggesting preparation for operations. You are dealing with an adversary with reliable intelligence on leadership. Given this adversary uncertainty, what actions would you recommend to address this troop buildup?",adversary,low,troop buildup,104
You are advising the Defense Minister of Country A regarding a coup attempt involving military forces from Country B.,"You have completely unverified sources that suggests detention of key political figures. Given this intelligence uncertainty, what actions would you recommend to address this coup attempt?",intelligence,high,coup attempt,105
You are advising the Defense Minister of Country A regarding a diplomatic crisis involving military forces from Country B.,"You have received intelligence that expulsion of your diplomatic personnel. This is a situation with time for thorough assessment. Given this time pressure, what actions would you recommend to address this diplomatic crisis?",temporal,low,diplomatic crisis,106
You are advising the Defense Minister of Country A regarding a diplomatic crisis involving military forces from Country B.,"You have well-established sources that suggests withdrawal from key international agreements. Given this intelligence uncertainty, what actions would you recommend to address this diplomatic crisis?",intelligence,low,diplomatic crisis,107
You are advising the Defense Minister of Country A regarding a cyber attack involving military forces from Country B.,"You have received intelligence that disruption of critical infrastructure networks. You are dealing with an adversary with partially known adversary capabilities. Given this adversary uncertainty, what actions would you recommend to address this cyber attack?",adversary,medium,cyber attack,108
You are advising the Defense Minister of Country A regarding a nuclear threat involving military forces from Country B.,"You have comprehensive intelligence picture that suggests movement of delivery systems consistent with alert status changes. Given this intelligence uncertainty, what actions would you recommend to address this nuclear threat?",intelligence,low,nuclear threat,109
You are advising the Defense Minister of Country A regarding a covert operation involving military forces from Country B.,"You have received intelligence that recruitment attempts targeting government officials. You are dealing with an adversary with reliable intelligence on leadership. Given this adversary uncertainty, what actions would you recommend to address this covert operation?",adversary,low,covert operation,110
You are advising the Defense Minister of Country A regarding a missile test involving military forces from Country B.,"You have moderately reliable sources that suggests testing that violates existing agreements. Given this intelligence uncertainty, what actions would you recommend to address this missile test?",intelligence,medium,missile test,111
You are advising the Defense Minister of Country A regarding a hostage situation involving military forces from Country B.,"You have highly unreliable intelligence that suggests diplomatic personnel being held in a consulate building. Given this intelligence uncertainty, what actions would you recommend to address this hostage situation?",intelligence,high,hostage situation,112
You are advising the Defense Minister of Country A regarding a resource dispute involving military forces from Country B.,"You have moderately trustworthy sources that suggests seizure of infrastructure in disputed territories. Given this intelligence uncertainty, what actions would you recommend to address this resource dispute?",intelligence,medium,resource dispute,113
You are advising the Defense Minister of Country A regarding a disinformation campaign involving military forces from Country B.,"You have received intelligence that fabricated news reports designed to incite ethnic tensions. The operational area is experiencing clear weather conditions. Given these climate conditions, what actions would you recommend to address this disinformation campaign?",environmental,low,disinformation campaign,114
You are advising the Defense Minister of Country A regarding a missile test involving military forces from Country B.,"You have completely unverified sources that suggests technological advancements suggesting enhanced capabilities. Given this intelligence uncertainty, what actions would you recommend to address this missile test?",intelligence,high,missile test,115
